Shortest path from 0 to 0: 0, Distance: 0
Shortest path from 0 to 1: 0 -> 65 -> 1, Distance: 2
Shortest path from 0 to 2: 0 -> 51 -> 2, Distance: 2
Shortest path from 0 to 3: 0 -> 3, Distance: 2
Shortest path from 0 to 4: 0 -> 76 -> 4, Distance: 2
Shortest path from 0 to 5: 0 -> 54 -> 5, Distance: 2
Shortest path from 0 to 6: 0 -> 6, Distance: 2
Shortest path from 0 to 7: 0 -> 7, Distance: 2
Shortest path from 0 to 8: 0 -> 76 -> 8, Distance: 2
Shortest path from 0 to 9: 0 -> 9, Distance: 2
Shortest path from 0 to 10: 0 -> 10, Distance: 2
Shortest path from 0 to 11: 0 -> 65 -> 1 -> 11, Distance: 3
Shortest path from 0 to 12: 0 -> 19 -> 12, Distance: 2
Shortest path from 0 to 13: 0 -> 165 -> 13, Distance: 2
Shortest path from 0 to 14: 0 -> 19 -> 14, Distance: 2
Shortest path from 0 to 15: 0 -> 149 -> 15, Distance: 3
Shortest path from 0 to 16: 0 -> 16, Distance: 3
Shortest path from 0 to 17: 0 -> 65 -> 17, Distance: 2
Shortest path from 0 to 18: 0 -> 88 -> 18, Distance: 2
Shortest path from 0 to 19: 0 -> 19, Distance: 1
Shortest path from 0 to 20: 0 -> 65 -> 1 -> 20, Distance: 3
Shortest path from 0 to 21: 0 -> 19 -> 21, Distance: 3
Shortest path from 0 to 22: 0 -> 22, Distance: 2
Shortest path from 0 to 23: 0 -> 23, Distance: 2
Shortest path from 0 to 24: 0 -> 54 -> 24, Distance: 2
Shortest path from 0 to 25: 0 -> 165 -> 25, Distance: 2
Shortest path from 0 to 26: 0 -> 88 -> 26, Distance: 3
Shortest path from 0 to 27: 0 -> 161 -> 27, Distance: 2
Shortest path from 0 to 28: 0 -> 54 -> 28, Distance: 2
Shortest path from 0 to 29: 0 -> 51 -> 29, Distance: 2
Shortest path from 0 to 30: 0 -> 165 -> 30, Distance: 2
Shortest path from 0 to 31: 0 -> 161 -> 31, Distance: 3
Shortest path from 0 to 32: 0 -> 32, Distance: 2
Shortest path from 0 to 33: 0 -> 51 -> 33, Distance: 2
Shortest path from 0 to 34: 0 -> 19 -> 34, Distance: 2
Shortest path from 0 to 35: 0 -> 19 -> 35, Distance: 3
Shortest path from 0 to 36: 0 -> 19 -> 36, Distance: 2
Shortest path from 0 to 37: 0 -> 19 -> 37, Distance: 2
Shortest path from 0 to 38: 0 -> 19 -> 38, Distance: 2
Shortest path from 0 to 39: 0 -> 54 -> 39, Distance: 2
Shortest path from 0 to 40: 0 -> 65 -> 40, Distance: 3
Shortest path from 0 to 41: 0 -> 41, Distance: 2
Shortest path from 0 to 42: 0 -> 51 -> 42, Distance: 3
Shortest path from 0 to 43: 0 -> 51 -> 43, Distance: 2
Shortest path from 0 to 44: 0 -> 19 -> 44, Distance: 2
Shortest path from 0 to 45: 0 -> 65 -> 45, Distance: 2
Shortest path from 0 to 46: 0 -> 155 -> 46, Distance: 3
Shortest path from 0 to 47: 0 -> 88 -> 47, Distance: 2
Shortest path from 0 to 48: 0 -> 51 -> 48, Distance: 2
Shortest path from 0 to 49: 0 -> 49, Distance: 3
Shortest path from 0 to 50: 0 -> 76 -> 50, Distance: 2
Shortest path from 0 to 51: 0 -> 51, Distance: 1
Shortest path from 0 to 52: 0 -> 118 -> 52, Distance: 2
Shortest path from 0 to 53: 0 -> 53, Distance: 2
Shortest path from 0 to 54: 0 -> 54, Distance: 1
Shortest path from 0 to 55: 0 -> 54 -> 55, Distance: 2
Shortest path from 0 to 56: 0 -> 56, Distance: 2
Shortest path from 0 to 57: 0 -> 88 -> 57, Distance: 2
Shortest path from 0 to 58: 0 -> 118 -> 58, Distance: 2
Shortest path from 0 to 59: 0 -> 88 -> 59, Distance: 3
Shortest path from 0 to 60: 0 -> 88 -> 60, Distance: 3
Shortest path from 0 to 61: 0 -> 161 -> 61, Distance: 2
Shortest path from 0 to 62: 0 -> 76 -> 62, Distance: 2
Shortest path from 0 to 63: 0 -> 63, Distance: 2
Shortest path from 0 to 64: 0 -> 19 -> 64, Distance: 2
Shortest path from 0 to 65: 0 -> 65, Distance: 1
Shortest path from 0 to 66: 0 -> 76 -> 66, Distance: 3
Shortest path from 0 to 67: 0 -> 76 -> 67, Distance: 2
Shortest path from 0 to 68: 0 -> 88 -> 68, Distance: 3
Shortest path from 0 to 69: 0 -> 6 -> 69, Distance: 3
Shortest path from 0 to 70: 0 -> 54 -> 70, Distance: 2
Shortest path from 0 to 71: 0 -> 3 -> 71, Distance: 3
Shortest path from 0 to 72: 0 -> 72, Distance: 2
Shortest path from 0 to 73: 0 -> 155 -> 73, Distance: 2
Shortest path from 0 to 74: 0 -> 74, Distance: 3
Shortest path from 0 to 75: 0 -> 155 -> 75, Distance: 2
Shortest path from 0 to 76: 0 -> 76, Distance: 1
Shortest path from 0 to 77: 0 -> 165 -> 77, Distance: 2
