Shortest path from node 0 to node 1: 0 -> 1, Distance: 7
Shortest path from node 0 to node 2: 0 -> 2, Distance: 10
Shortest path from node 0 to node 3: 0 -> 3, Distance: 3
Shortest path from node 0 to node 4: 0 -> 1 -> 4, Distance: 16
Shortest path from node 0 to node 5: 0 -> 5, Distance: 4
Shortest path from node 0 to node 6: 0 -> 2 -> 6, Distance: 14
Shortest path from node 0 to node 7: 0 -> 7, Distance: 9
Shortest path from node 0 to node 8: 0 -> 8, Distance: 10
Shortest path from node 0 to node 9: 0 -> 9, Distance: 6
Shortest path from node 0 to node 10: 0 -> 1 -> 10, Distance: 12
Shortest path from node 0 to node 11: 0 -> 11, Distance: 6
Shortest path from node 0 to node 12: 0 -> 12, Distance: 3
Shortest path from node 0 to node 13: 0 -> 13, Distance: 5
Shortest path from node 0 to node 14: 0 -> 14, Distance: 5
Shortest path from node 0 to node 15: 0 -> 15, Distance: 9
Shortest path from node 0 to node 16: 0 -> 13 -> 16, Distance: 8
Shortest path from node 0 to node 17: 0 -> 12 -> 17, Distance: 5
Shortest path from node 0 to node 18: 0 -> 18, Distance: 9
Shortest path from node 0 to node 19: 0 -> 5 -> 19, Distance: 5
Shortest path from node 0 to node 20: 0 -> 2 -> 20, Distance: 11
Shortest path from node 0 to node 21: 0 -> 18 -> 21, Distance: 12
Shortest path from node 0 to node 22: 0 -> 22, Distance: 10
Shortest path from node 0 to node 23: 0 -> 13 -> 16 -> 23, Distance: -2
Shortest path from node 0 to node 24: 0 -> 24, Distance: 3
Shortest path from node 0 to node 25: 0 -> 25, Distance: 4
Shortest path from node 0 to node 26: 0 -> 12 -> 26, Distance: -7
Shortest path from node 0 to node 27: 0 -> 27, Distance: 8
Shortest path from node 0 to node 28: 0 -> 13 -> 16 -> 23 -> 28, Distance: -4
Shortest path from node 0 to node 29: 0 -> 11 -> 29, Distance: 10
Shortest path from node 0 to node 30: 0 -> 11 -> 30, Distance: 16
Shortest path from node 0 to node 31: 0 -> 31, Distance: 8
Shortest path from node 0 to node 32: 0 -> 13 -> 16 -> 23 -> 32, Distance: 0
Shortest path from node 0 to node 33: 0 -> 33, Distance: 5
Shortest path from node 0 to node 34: 0 -> 34, Distance: 9
Shortest path from node 0 to node 35: 0 -> 13 -> 35, Distance: 11
Shortest path from node 0 to node 36: 0 -> 36, Distance: 9
Shortest path from node 0 to node 37: 0 -> 37, Distance: 4
Shortest path from node 0 to node 38: 0 -> 11 -> 30 -> 38, Distance: 13
Shortest path from node 0 to node 39: 0 -> 39, Distance: 3
Shortest path from node 0 to node 40: 0 -> 22 -> 40, Distance: 4
Shortest path from node 0 to node 41: 0 -> 22 -> 41, Distance: 8
Shortest path from node 0 to node 42: 0 -> 42, Distance: 8
Shortest path from node 0 to node 43: 0 -> 43, Distance: 2
Shortest path from node 0 to node 44: 0 -> 11 -> 30 -> 38 -> 44, Distance: 14
Shortest path from node 0 to node 45: 0 -> 13 -> 16 -> 23 -> 28 -> 45, Distance: -11
Shortest path from node 0 to node 46: 0 -> 46, Distance: 1
Shortest path from node 0 to node 47: 0 -> 14 -> 47, Distance: 15
Shortest path from node 0 to node 48: 0 -> 13 -> 16 -> 23 -> 28 -> 48, Distance: -9
Shortest path from node 0 to node 49: 0 -> 49, Distance: 7
Shortest path from node 0 to node 50: 0 -> 37 -> 50, Distance: 11
Shortest path from node 0 to node 51: 0 -> 51, Distance: 2
Shortest path from node 0 to node 52: 0 -> 52, Distance: 10
Shortest path from node 0 to node 53: 0 -> 12 -> 53, Distance: -7
Shortest path from node 0 to node 54: 0 -> 12 -> 17 -> 54, Distance: -3
Shortest path from node 0 to node 55: 0 -> 12 -> 53 -> 55, Distance: -9
Shortest path from node 0 to node 56: 0 -> 56, Distance: 1
Shortest path from node 0 to node 57: 0 -> 22 -> 41 -> 57, Distance: 8
Shortest path from node 0 to node 58: 0 -> 37 -> 50 -> 58, Distance: 1
