0 1 2
0 5 8
0 7 1
0 10 3
0 12 4
0 14 1
0 15 3
0 16 5
0 17 8
0 19 2
0 21 2
0 25 6
0 28 6
0 29 2
0 31 10
0 34 6
0 36 3
0 40 6
0 45 5
0 46 7
0 47 1
0 48 10
0 50 9
0 58 5
0 61 9
0 63 8
0 64 10
0 65 8
0 66 10
0 68 4
0 69 6
0 70 8
0 73 2
0 74 6
0 75 5
0 76 8
0 79 5
0 82 2
0 84 2
0 85 3
0 89 5
0 90 9
0 92 7
0 94 6
0 95 9
0 96 3
0 97 4
0 99 5
0 101 3
0 102 5
0 103 3
0 105 1
0 108 1
0 111 4
0 112 3
0 114 6
0 119 8
0 120 9
0 121 7
0 122 10
0 123 1
0 125 4
0 128 8
0 130 4
0 134 8
0 138 9
0 142 6
0 143 8
0 144 6
0 146 9
0 148 10
0 149 7
0 150 5
0 151 5
0 152 6
0 156 10
0 157 10
0 158 1
0 160 8
0 161 10
0 162 7
0 163 6
0 165 7
0 168 3
0 175 7
0 176 10
0 177 9
0 178 1
0 179 2
0 182 1
0 185 9
0 186 6
0 187 10
0 189 8
0 193 1
0 194 3
0 196 5
0 198 1
0 201 6
0 205 4
0 209 7
0 210 3
0 211 6
0 213 4
0 214 9
0 217 10
0 219 3
0 220 3
0 221 1
0 222 10
0 225 2
0 227 1
0 229 1
0 233 3
0 236 3
0 238 9
0 239 2
0 240 4
0 242 7
0 244 9
0 245 3
0 246 5
0 247 10
0 248 8
0 250 2
0 256 7
0 258 10
0 259 7
0 261 8
0 263 7
0 264 1
0 265 5
0 266 8
0 267 1
0 268 7
0 269 4
0 270 4
0 273 8
0 274 9
0 275 6
0 276 10
0 279 4
0 281 1
0 282 10
0 285 7
0 287 10
0 288 1
0 290 2
0 293 8
0 294 4
0 295 2
0 296 10
0 297 3
0 298 10
0 300 4
0 301 10
0 302 9
0 304 9
0 306 2
0 307 6
0 310 10
0 315 6
0 316 10
0 317 1
0 319 10
0 321 10
0 323 7
0 328 6
0 329 10
0 330 5
0 331 3
0 332 7
0 333 3
0 334 10
0 336 2
0 338 6
0 339 5
0 340 10
0 341 5
0 343 10
0 344 3
0 345 4
0 347 9
0 349 3
0 351 3
0 352 2
0 354 4
0 355 10
0 357 10
0 361 10
0 362 7
0 363 6
0 365 5
0 366 7
0 367 5
0 370 2
0 371 9
0 373 10
0 374 10
0 375 2
0 378 4
0 379 10
0 380 6
0 381 8
0 383 2
0 384 1
0 387 5
0 391 3
0 394 2
0 395 10
0 397 3
0 398 9
0 400 9
0 401 1
0 403 5
0 405 8
0 406 9
0 407 7
0 412 6
0 414 7
0 415 2
0 416 4
0 417 10
0 419 1
0 420 8
0 421 1
0 423 1
0 424 3
0 425 5
0 426 4
0 429 9
0 435 9
0 437 2
0 438 9
0 440 7
0 442 10
0 443 1
0 445 8
0 446 6
0 447 5
0 449 4
0 452 6
0 454 3
0 455 7
0 458 10
0 460 6
0 464 1
0 470 10
0 472 10
0 475 6
0 476 5
0 478 6
0 479 5
0 486 2
0 487 8
0 490 1
0 492 3
1 3 5
1 6 7
1 8 9
1 11 4
1 13 3
1 15 8
1 16 1
1 18 3
1 19 2
1 20 6
1 21 8
1 22 7
1 25 5
1 26 5
1 31 10
1 32 3
1 41 10
1 42 4
1 44 2
1 45 2
1 46 10
1 47 3
1 48 1
1 52 7
1 54 7
1 55 5
1 57 8
1 58 9
1 60 3
1 65 1
1 67 6
1 70 4
1 71 1
1 72 3
1 73 4
1 80 10
1 83 5
1 86 5
1 87 2
1 88 2
1 89 4
1 90 6
1 91 1
1 92 9
1 94 8
1 95 2
1 97 5
1 99 6
1 101 6
1 104 4
1 108 3
1 109 3
1 111 5
1 116 5
1 117 8
1 121 8
1 123 6
1 128 6
1 129 2
1 130 10
1 131 7
1 133 4
1 137 7
1 138 9
1 145 9
1 147 6
1 154 10
1 155 2
1 158 5
1 160 4
1 172 6
1 173 2
1 179 7
1 182 8
1 183 9
1 186 2
1 187 6
1 192 10
1 196 4
1 197 10
1 200 3
1 201 1
1 202 10
1 204 6
1 206 2
1 209 2
1 211 1
1 215 6
1 218 5
1 222 1
1 224 7
1 225 9
1 227 7
1 228 3
1 230 9
1 232 9
1 233 3
1 234 4
1 235 3
1 237 4
1 238 6
1 240 1
1 243 1
1 245 1
1 249 1
1 250 1
1 251 1
1 252 8
1 253 5
1 257 2
1 258 8
1 260 5
1 264 7
1 265 1
1 267 8
1 268 1
1 269 8
1 271 8
1 272 9
1 274 4
1 280 3
1 281 7
1 283 2
1 285 10
1 289 3
1 291 1
1 293 6
1 298 10
1 299 8
1 300 10
1 302 7
1 303 10
1 304 8
1 305 5
1 308 6
1 309 8
1 310 9
1 311 7
1 312 1
1 313 5
1 315 8
1 317 8
1 318 10
1 319 10
1 321 7
1 322 4
1 323 3
1 330 3
1 332 10
1 333 2
1 335 5
1 337 10
1 339 5
1 343 9
1 346 7
1 347 9
1 348 4
1 349 10
1 350 8
1 352 1
1 353 8
1 354 1
1 356 9
1 361 10
1 362 3
1 363 2
1 365 5
1 366 1
1 369 8
1 372 1
1 373 6
1 374 10
1 375 5
1 376 7
1 378 6
1 380 7
1 382 6
1 383 9
1 387 4
1 388 2
1 389 4
1 390 3
1 392 7
1 395 6
1 396 4
1 398 5
1 399 7
1 402 10
1 403 8
1 406 1
1 407 5
1 408 3
1 409 3
1 415 7
1 417 1
1 418 10
1 420 9
1 421 6
1 422 2
1 423 9
1 425 2
1 426 8
1 427 5
1 429 6
1 433 4
1 435 9
1 436 5
1 439 9
1 440 2
1 443 8
1 445 1
1 446 2
1 452 5
1 453 7
1 456 2
1 457 7
1 465 1
1 472 4
1 473 1
1 476 5
1 480 4
1 481 9
1 482 1
1 483 3
1 485 2
1 487 4
1 488 5
1 489 4
1 496 1
1 0 2
2 3 10
2 4 2
2 5 2
2 6 10
2 7 10
2 9 10
2 11 4
2 12 7
2 17 8
2 19 8
2 20 1
2 21 1
2 23 7
2 26 5
2 27 3
2 28 6
2 29 3
2 31 4
2 32 6
2 37 4
2 39 4
2 40 8
2 42 1
2 43 6
2 47 3
2 48 1
2 51 6
2 52 2
2 54 6
2 55 5
2 59 2
2 62 5
2 63 6
2 65 5
2 66 4
2 67 7
2 71 6
2 73 1
2 74 3
2 77 3
2 78 8
2 79 10
2 80 4
2 81 8
2 90 7
2 92 2
2 93 8
2 95 7
2 96 9
2 97 9
2 98 8
2 99 10
2 100 6
2 101 9
2 103 8
2 104 3
2 107 3
2 109 8
2 110 9
2 111 10
2 112 3
2 113 8
2 118 4
2 119 1
2 122 5
2 123 3
2 129 5
2 131 8
2 132 8
2 133 2
2 134 8
2 136 5
2 138 1
2 141 6
2 142 7
2 144 7
2 147 6
2 149 5
2 150 3
2 151 10
2 154 9
2 155 9
2 156 3
2 160 6
2 161 1
2 169 4
2 172 6
2 174 3
2 176 6
2 178 9
2 179 3
2 181 9
2 182 9
2 184 9
2 185 2
2 187 8
2 188 1
2 190 8
2 191 7
2 193 4
2 195 4
2 196 7
2 198 5
2 199 4
2 202 1
2 204 1
2 210 7
2 213 6
2 217 1
2 220 4
2 228 2
2 229 10
2 231 9
2 237 2
2 238 5
2 244 9
2 247 3
2 249 9
2 251 2
2 255 7
2 258 4
2 259 4
2 263 9
2 266 8
2 267 9
2 268 2
2 269 10
2 271 10
2 276 3
2 277 7
2 278 6
2 279 8
2 280 2
2 281 1
2 285 1
2 287 7
2 288 6
2 290 10
2 291 3
2 297 9
2 298 8
2 299 3
2 300 10
2 301 6
2 302 9
2 305 4
2 307 7
2 308 3
2 310 10
2 311 9
2 312 9
2 313 1
2 314 1
2 315 2
2 316 5
2 317 4
2 319 6
2 320 6
2 322 1
2 324 7
2 325 5
2 327 4
2 331 6
2 332 2
2 333 7
2 335 2
2 336 6
2 337 1
2 338 9
2 339 5
2 341 5
2 342 3
2 345 9
2 346 1
2 350 3
2 353 1
2 357 6
2 358 10
2 364 5
2 368 6
2 372 9
2 373 10
2 374 1
2 380 10
2 381 8
2 382 6
2 385 1
2 390 8
2 391 9
2 392 2
2 394 1
2 395 2
2 396 1
2 401 3
2 402 3
2 404 1
2 405 5
2 408 2
2 411 7
2 412 8
2 415 8
2 416 6
2 417 9
2 419 1
2 420 5
2 424 1
2 425 1
2 427 10
2 431 5
2 435 9
2 436 6
2 438 9
2 439 4
2 440 7
2 441 3
2 442 7
2 443 8
2 445 7
2 446 4
2 447 3
2 448 4
2 449 6
2 450 1
2 451 4
2 456 7
2 458 8
2 462 8
2 467 1
2 471 6
2 473 9
2 474 2
2 475 5
2 479 3
2 481 1
2 482 6
2 483 9
2 485 4
2 486 10
2 488 4
2 490 1
2 493 10
2 496 5
2 497 10
2 498 6
2 0 6
3 4 2
3 7 9
3 9 5
3 11 8
3 13 10
3 14 1
3 16 9
3 19 9
3 20 5
3 21 1
3 22 6
3 23 6
3 24 7
3 25 7
3 26 3
3 29 6
3 33 7
3 36 6
3 37 10
3 38 8
3 40 9
3 43 4
3 44 8
3 45 1
3 46 9
3 48 7
3 52 6
3 53 4
3 54 9
3 56 5
3 58 4
3 60 7
3 61 3
3 62 6
3 63 4
3 67 10
3 68 5
3 69 6
3 71 10
3 76 10
3 80 1
3 81 7
3 83 5
3 86 7
3 90 7
3 91 6
3 92 5
3 94 2
3 100 9
3 101 1
3 102 2
3 103 2
3 105 5
3 107 2
3 108 5
3 110 9
3 112 7
3 115 7
3 116 8
3 117 1
3 125 6
3 127 4
3 128 10
3 132 8
3 133 10
3 134 9
3 137 1
3 138 5
3 139 9
3 140 4
3 141 2
3 142 1
3 143 5
3 144 8
3 147 6
3 148 8
3 150 4
3 151 4
3 152 10
3 156 6
3 157 3
3 159 6
3 160 3
3 163 8
3 164 9
3 165 4
3 167 1
3 168 2
3 170 8
3 173 3
3 175 9
3 180 3
3 181 6
3 182 1
3 186 8
3 187 3
3 191 5
3 192 10
3 198 7
3 199 7
3 202 3
3 203 9
3 205 9
3 206 6
3 207 10
3 208 9
3 209 2
3 211 7
3 213 8
3 216 4
3 217 7
3 220 3
3 222 5
3 223 2
3 224 9
3 227 8
3 229 6
3 233 4
3 236 9
3 241 1
3 242 7
3 243 7
3 244 9
3 248 9
3 252 1
3 254 2
3 255 8
3 258 9
3 259 6
3 262 3
3 263 9
3 269 6
3 274 9
3 276 1
3 277 3
3 278 8
3 280 2
3 283 4
3 284 5
3 285 10
3 287 3
3 290 4
3 291 4
3 292 10
3 293 3
3 295 4
3 296 5
3 297 7
3 298 8
3 299 5
3 305 8
3 306 4
3 307 7
3 308 1
3 309 7
3 310 9
3 311 7
3 312 3
3 313 1
3 314 7
3 317 6
3 320 8
3 321 6
3 323 9
3 324 8
3 326 3
3 327 8
3 329 6
3 331 10
3 332 9
3 336 8
3 338 6
3 342 10
3 343 9
3 344 9
3 345 2
3 346 10
3 350 1
3 352 3
3 353 3
3 355 1
3 356 2
3 357 9
3 358 9
3 359 6
3 365 5
3 367 1
3 371 6
3 373 1
3 374 3
3 375 6
3 377 7
3 380 4
3 381 9
3 383 7
3 386 1
3 387 7
3 388 9
3 389 4
3 390 3
3 391 5
3 394 10
3 396 3
3 397 10
3 398 7
3 399 7
3 401 1
3 403 5
3 407 7
3 408 8
3 410 1
3 411 7
3 413 9
3 415 2
3 417 5
3 418 5
3 421 4
3 424 10
3 426 4
3 427 4
3 430 3
3 432 8
3 435 3
3 436 4
3 437 4
3 438 6
3 440 2
3 442 1
3 443 5
3 444 8
3 446 1
3 448 8
3 449 3
3 450 7
3 453 9
3 455 1
3 456 3
3 458 10
3 460 4
3 461 9
3 462 10
3 464 10
3 466 8
3 467 3
3 470 1
3 471 5
3 474 7
3 475 8
3 476 4
3 478 4
3 480 6
3 482 10
3 485 2
3 487 3
3 488 1
3 490 10
3 491 7
3 492 1
3 493 8
3 495 9
3 496 10
3 497 3
3 498 2
3 1 8
4 6 7
4 9 3
4 10 6
4 11 5
4 13 2
4 14 1
4 15 9
4 16 6
4 17 1
4 21 3
4 22 9
4 23 2
4 26 1
4 27 6
4 28 5
4 31 10
4 32 5
4 33 5
4 36 5
4 37 3
4 38 4
4 39 1
4 41 1
4 43 9
4 44 3
4 48 2
4 50 1
4 51 1
4 53 10
4 58 5
4 60 6
4 71 5
4 73 5
4 74 8
4 76 1
4 77 3
4 80 3
4 81 10
4 83 3
4 85 7
4 90 3
4 93 5
4 95 3
4 96 6
4 98 9
4 101 7
4 103 4
4 104 8
4 107 5
4 108 7
4 109 6
4 111 7
4 113 2
4 115 2
4 116 7
4 117 6
4 118 4
4 119 2
4 121 8
4 125 4
4 126 6
4 128 8
4 135 4
4 138 10
4 139 2
4 140 9
4 143 9
4 146 5
4 147 8
4 148 5
4 149 10
4 150 6
4 151 1
4 153 10
4 154 2
4 158 3
4 159 4
4 161 10
4 162 3
4 163 4
4 167 2
4 169 4
4 170 4
4 172 3
4 176 3
4 179 1
4 181 4
4 186 5
4 189 9
4 190 1
4 191 8
4 195 8
4 199 7
4 201 10
4 202 1
4 205 1
4 206 7
4 207 7
4 217 1
4 219 8
4 220 8
4 222 6
4 223 6
4 224 7
4 227 8
4 229 6
4 231 2
4 232 8
4 234 8
4 236 10
4 237 7
4 238 4
4 240 2
4 241 3
4 243 10
4 244 6
4 246 2
4 249 6
4 253 8
4 254 2
4 255 9
4 258 6
4 260 4
4 261 2
4 262 8
4 263 5
4 264 3
4 265 9
4 266 5
4 267 3
4 271 1
4 272 8
4 274 8
4 275 8
4 279 2
4 282 7
4 284 8
4 287 7
4 291 5
4 294 9
4 296 3
4 298 7
4 299 9
4 304 10
4 306 7
4 308 4
4 309 6
4 310 1
4 311 2
4 313 8
4 314 9
4 315 4
4 318 4
4 320 10
4 322 5
4 324 9
4 325 4
4 326 8
4 328 9
4 329 9
4 331 3
4 332 10
4 335 7
4 336 9
4 337 2
4 339 1
4 342 3
4 346 7
4 349 8
4 352 6
4 354 7
4 355 9
4 356 9
4 357 4
4 360 3
4 361 1
4 362 2
4 365 10
4 366 1
4 367 6
4 371 10
4 372 6
4 380 5
4 381 2
4 382 5
4 383 2
4 385 6
4 386 9
4 388 2
4 389 2
4 390 5
4 392 8
4 394 8
4 396 10
4 398 4
4 400 3
4 401 4
4 403 6
4 404 4
4 405 1
4 406 5
4 407 9
4 411 10
4 413 1
4 414 10
4 417 4
4 418 10
4 422 8
4 426 3
4 429 7
4 430 4
4 431 5
4 434 4
4 436 7
4 439 3
4 441 1
4 443 3
4 445 1
4 446 2
4 447 8
4 448 8
4 452 9
4 453 5
4 454 9
4 455 4
4 456 5
4 457 8
4 458 4
4 460 6
4 461 4
4 462 9
4 469 5
4 474 1
4 475 3
4 478 3
4 482 3
4 485 6
4 487 1
4 488 6
4 489 8
4 490 4
4 492 9
4 493 3
4 495 8
4 0 6
5 7 5
5 8 7
5 9 9
5 12 10
5 16 5
5 20 1
5 21 4
5 23 9
5 27 7
5 28 7
5 29 3
5 30 7
5 31 6
5 32 1
5 33 6
5 36 3
5 41 4
5 44 8
5 48 6
5 49 10
5 50 8
5 53 7
5 54 2
5 55 7
5 56 4
5 57 2
5 58 8
5 61 3
5 62 6
5 63 6
5 64 6
5 65 8
5 66 9
5 69 1
5 73 8
5 76 5
5 77 9
5 78 9
5 79 7
5 80 8
5 83 5
5 84 1
5 85 5
5 88 10
5 89 1
5 92 10
5 94 6
5 95 2
5 100 7
5 101 4
5 103 4
5 105 6
5 106 5
5 110 6
5 112 1
5 115 7
5 116 1
5 118 6
5 119 3
5 121 7
5 122 4
5 123 4
5 126 8
5 127 9
5 128 5
5 129 1
5 131 1
5 132 9
5 133 3
5 134 6
5 135 1
5 136 3
5 137 9
5 139 6
5 144 3
5 147 4
5 148 6
5 151 1
5 153 1
5 154 9
5 155 6
5 160 2
5 161 6
5 162 7
5 163 3
5 164 6
5 168 7
5 171 5
5 174 6
5 175 3
5 179 8
5 180 6
5 185 7
5 187 10
5 188 9
5 189 7
5 190 10
5 194 8
5 196 4
5 198 1
5 199 8
5 202 3
5 203 2
5 207 8
5 209 3
5 210 7
5 214 1
5 215 3
5 217 5
5 220 6
5 221 3
5 223 10
5 224 9
5 225 8
5 228 7
5 232 2
5 233 6
5 235 1
5 238 3
5 239 6
5 240 6
5 243 7
5 246 10
5 248 4
5 249 3
5 253 8
5 255 10
5 262 6
5 263 7
5 267 7
5 268 9
5 270 1
5 271 5
5 274 3
5 276 1
5 277 4
5 278 6
5 281 7
5 283 5
5 286 2
5 287 7
5 289 1
5 290 1
5 291 8
5 293 9
5 295 6
5 297 5
5 298 2
5 299 2
5 300 7
5 303 7
5 304 9
5 305 10
5 309 1
5 313 9
5 314 8
5 316 2
5 318 7
5 321 7
5 322 10
5 323 6
5 324 8
5 326 7
5 332 7
5 337 5
5 339 2
5 341 1
5 342 1
5 343 9
5 344 6
5 345 7
5 346 9
5 347 9
5 349 10
5 353 9
5 354 8
